sid,roi,condition,0s,2s,4s,6s,8s,10s
T_475,rHC,nt,-0.230895917,-0.334101894,-0.62831885,-0.475189896,-0.059610268,0.163168961
T_488,rHC,nt,0.020532396,0.085352452,-0.042291272,0.037872082,-0.000956499,-0.045859504
T_490,rHC,nt,0.016840271,0.044450361,0.019618641,0.086813298,0.069633187,0.008400009
T_491,rHC,nt,-0.017161565,-0.053480434,-0.003795021,-0.074568852,-0.066363661,-0.017718174
T_495,rHC,nt,0.005081396,-0.049136961,0.04291734,0.261566081,0.005664289,-0.013021731
T_507,rHC,nt,0.157179036,0.071611218,0.085728509,0.07518878,0.169465924,0.05536714
T_513,rHC,nt,0.060264171,-0.004193454,-0.022941133,0.102421772,0.045032558,0.00434765
T_524,rHC,nt,0.085864711,-0.218171853,-0.295571186,-0.284241922,-0.24118627,-0.151791128
T_549,rHC,nt,-0.011648654,-0.135091025,-0.042725179,-0.080318195,-0.029415751,-0.025257272
T_550,rHC,nt,0.016842162,-0.101780801,-0.082455408,0.159505594,0.078498793,0.066710117
T_554,rHC,nt,-0.169437437,-0.356901511,-0.232782576,-0.236911328,-0.042006558,-0.00766934
T_556,rHC,nt,0.060547437,0.017089725,-0.163038118,0.215392952,0.12965912,-0.055631878
T_593,rHC,nt,0.164089382,0.079226498,0.163879613,0.183997695,0.119990808,0.090387014
T_595,rHC,nt,0.072233037,-0.017503834,0.249215253,0.32303633,0.188589033,0.035926195
T_603,rHC,nt,-0.086389449,-0.149036245,-0.351079992,-0.400325215,-0.299495822,-0.1566473
T_614,rHC,nt,0.090867282,-0.040494555,0.233954522,0.154833265,0.081119545,0.056251865
T_624,rHC,nt,0.117624902,0.016697925,0.012578332,0.074047765,0.143111378,0.187226658
T_629,rHC,nt,-0.001565327,-0.050040112,-0.002433786,0.07358334,0.024836205,0.022783017
T_642,rHC,nt,0.032612535,0.074197139,0.173800423,0.150855193,0.061123437,0.15284604
T_647,rHC,nt,-0.020434595,-0.053790309,-0.083848611,-0.087524609,-0.014634979,0.028972259
T_652,rHC,nt,-0.030291839,-0.184245823,-0.207696506,-0.374025535,-0.250866801,-0.110056158
T_662,rHC,nt,-0.198318438,-0.152363285,-0.000160284,-0.019948359,-0.258483288,-0.230938063
T_663,rHC,nt,-0.062493687,-0.214229293,-0.206716942,-0.211281769,-0.084564697,-0.08748384
T_665,rHC,nt,0.027926007,-0.04096909,-0.108776599,-0.009063466,0.099965124,0.107203208
T_475,rHC,t,0.0240593,0.014502168,0.009922476,-0.137882852,-0.18693846,-0.10357597
T_488,rHC,t,-0.009051009,-0.06586526,0.015965581,0.039660088,0.030000093,0.037028628
T_490,rHC,t,0.055603342,-0.012051226,0.069840572,0.004406105,0.003772564,-0.044399657
T_491,rHC,t,-0.09997105,-0.036798085,-0.072026352,-0.084858452,-0.020313311,-0.063126739
T_495,rHC,t,-0.105829717,0.387116541,0.526554535,0.520677616,0.622040551,0.279491047
T_507,rHC,t,0.112114175,0.056182297,0.061885261,0.069057715,0.004564986,0.064151899
T_513,rHC,t,0.034308789,0.053909569,0.202510679,0.21877028,0.097086436,0.128455139
T_524,rHC,t,-0.062427829,0.014279183,0.077853556,0.115211936,-0.017392361,-0.020739435
T_549,rHC,t,0.101820564,0.049661711,0.06243548,0.145910741,0.126988907,0.081387689
T_550,rHC,t,0.022462356,0.043736029,0.111944073,0.183636906,0.182062109,0.195912855
T_554,rHC,t,-0.03125972,0.191655762,0.094451477,-0.248221319,-0.217218063,-0.113443874
T_556,rHC,t,-0.059986284,-0.02833976,-0.001972935,0.359185499,0.175828817,0.088718094
T_593,rHC,t,0.079446707,0.073132188,0.240864639,0.165844935,0.084887364,0.053328923
T_595,rHC,t,0.005597729,0.108525689,0.190877795,0.126591652,0.03873102,0.101847566
T_603,rHC,t,-0.047527416,-0.107860573,-0.203723643,-0.253991178,-0.273637146,-0.157843188
T_614,rHC,t,-0.11331805,0.200122073,0.107970294,-0.158567318,-0.088059247,0.11655609
T_624,rHC,t,0.001655681,0.035447102,0.13687163,-0.005939322,0.014313277,-0.018747858
T_629,rHC,t,0.053136381,0.012674324,0.080340553,0.15206179,0.156068549,0.167234216
T_642,rHC,t,0.07481877,0.062480556,0.030548329,-0.038571194,0.02555439,-0.004799077
T_647,rHC,t,0.169400148,0.23565161,0.154987286,0.046052038,0.133240718,0.234669365
T_652,rHC,t,-0.02021013,-0.1381177,-0.04978756,0.015120252,-0.093342618,-0.156699895
T_662,rHC,t,-0.126321128,-0.107444762,-0.167969918,-0.228972345,-0.06677433,-0.15152703
T_663,rHC,t,0.102027103,0.103290676,0.271030762,0.250045521,0.216274007,0.103245071
T_665,rHC,t,0.012721035,0.044620096,0.087749625,0.013160616,-0.046599005,0.045756874
T_475,rHC,s,0.055432316,-0.037910981,-0.257332067,-0.332677869,-0.09583995,0.137617421
T_488,rHC,s,-0.032122054,0.092211292,-0.015378612,-0.114459897,-0.195649176,-0.133353011
T_490,rHC,s,-0.065042833,-0.143498595,-0.229661098,-0.278045507,-0.168705416,-0.107162358
T_491,rHC,s,-0.120150503,-0.039716796,-0.120945412,-0.114396622,-0.100358413,0.0155877
T_495,rHC,s,-0.239743623,-0.015099264,0.098437065,0.070548992,0.231990704,0.077833872
T_507,rHC,s,0.006538289,-0.086541695,-0.358712092,-0.308213568,-0.12881717,0.00472201
T_513,rHC,s,0.04958908,0.030211901,-0.096219536,-0.005171812,-0.145463548,-0.073074933
T_524,rHC,s,0.054068212,0.02164957,-0.329386431,-0.305462193,0.013249236,0.188250079
T_549,rHC,s,0.07159162,-0.149856216,-0.439287913,-0.388274122,-0.508258823,-0.192858258
T_550,rHC,s,0.117630282,0.023019547,-0.119181617,-0.115181974,-0.125861027,0.045074596
T_554,rHC,s,-0.080467139,-0.09160816,0.002765402,0.037850913,0.257885998,0.319599376
T_556,rHC,s,0.029236406,-0.031679287,-0.003337706,-0.27361677,0.022916742,-0.022992739
T_593,rHC,s,-0.082296363,-0.011205913,-0.349869283,-0.167147199,-0.165279095,-0.1038806
T_595,rHC,s,-0.027625651,0.191899821,-0.110044554,-0.21341483,0.025937491,0.193984267
T_603,rHC,s,-0.010259707,0.142652988,0.149990468,0.131577868,0.151279936,0.253741299
T_614,rHC,s,-0.06510685,-0.021995377,-0.184612165,-0.035771612,-0.045516864,0.207704452
T_624,rHC,s,-0.047802757,-0.0490923,-0.197949199,-0.230138763,-0.187002131,-0.190100059
T_629,rHC,s,-0.114283324,-0.149450184,-0.089091757,-0.053029749,-0.275320331,-0.152082395
T_642,rHC,s,-0.050190122,-0.147163743,-0.317297196,-0.139483648,-0.04431569,-0.122838194
T_647,rHC,s,-0.130254261,-0.342678611,-0.283263659,-0.310890329,-0.179861295,-0.092010808
T_652,rHC,s,0.016033574,-0.00925778,-0.109673642,-0.208104903,-0.227218535,0.07517563
T_662,rHC,s,-0.175593268,-0.181283262,-0.323042189,-0.421490298,-0.159073524,0.217993503
T_663,rHC,s,-0.033771372,0.013865737,-0.135280408,-0.050394709,-0.029999652,-0.089209542
T_665,rHC,s,-0.079651915,-0.108336023,-0.150303753,-0.181575253,-0.138370576,-0.146989173
T_475,rHC,g,0.002129209,-0.165174674,-0.24018022,0.008097843,0.118972689,0.086168036
T_488,rHC,g,-0.046119355,-0.173521301,-0.143305307,-0.111376143,-0.009612677,-0.074339126
T_490,rHC,g,0.004469084,-0.13546457,-0.179243084,-0.156341608,-0.05618728,-0.03668443
T_491,rHC,g,0.019199383,-0.098172296,-0.183931762,-0.046908647,-0.018595943,-0.013051841
T_495,rHC,g,-0.16520774,-0.1698703,-0.044534159,0.209051168,0.09141423,0.146582252
T_507,rHC,g,-0.054349908,-0.061143134,-0.168843487,-0.077523668,-0.000478423,-0.072933174
T_513,rHC,g,-0.128635983,-0.143376336,-0.18903078,-0.114961881,-0.0144405,-0.032859022
T_524,rHC,g,-0.013819483,-0.063538677,-0.020377987,-0.048238014,0.036457589,0.045146481
T_549,rHC,g,-0.041342847,-0.129118187,-0.130207827,-0.113698479,-0.095290334,0.000841377
T_550,rHC,g,0.035302893,-0.092452062,-0.075169703,-0.058489525,-0.002390569,-0.07926015
T_554,rHC,g,-0.073959545,-0.139727648,0.026103368,0.187149922,0.191139441,0.101838845
T_556,rHC,g,-0.064903924,-0.141833944,-0.100986044,-0.048904363,0.018719341,0.017029288
T_593,rHC,g,-0.008033,-0.104870045,-0.009451693,-0.069150055,-0.010930279,0.018112552
T_595,rHC,g,-0.050341859,-0.246731999,-0.201274809,-0.02255561,-0.026362763,0.000409991
T_603,rHC,g,-0.031318085,-0.042539317,-0.049776937,0.053382631,0.045439604,0.068953088
T_614,rHC,g,-0.141112972,0.015039235,0.111394123,0.079181214,-0.052671932,0.049940114
T_624,rHC,g,0.011656117,-0.038362997,-0.149639227,-0.003032737,-0.085581002,-0.004699982
T_629,rHC,g,-0.057712059,-0.091870712,-0.259561351,-0.095541711,0.016463094,-0.010424545
T_642,rHC,g,-0.055004596,-0.061029737,-0.092066149,-0.06450108,-0.018546272,-0.080772047
T_647,rHC,g,0.01042384,-0.04198879,-0.12946972,-0.085731775,-0.021897252,-0.036911928
T_652,rHC,g,-0.017941995,-0.130663008,-0.159112498,-0.083627761,-0.0442519,0.06295004
T_662,rHC,g,0.02137198,-0.116674202,-0.276655606,-0.021754759,0.046566933,-0.029916469
T_663,rHC,g,-0.069594945,-0.124507288,-0.038754257,0.007141742,0.052783152,0.125034136
T_665,rHC,g,0.020282758,-0.056330529,-0.106250002,-0.006958405,-0.044740581,-0.017803674
T_475,lM1,nt,-0.09188215,-0.198842321,-0.328828003,-0.240387057,0.057297268,0.282488696
T_488,lM1,nt,-0.083935826,-0.029466792,0.102527276,0.083365625,0.072185161,0.154558341
T_490,lM1,nt,0.046203852,-0.068279783,0.113895248,0.193765567,0.081608608,0.057304402
T_491,lM1,nt,-0.117996294,-0.126035816,-0.015781164,0.011048386,0.048300452,0.143589652
T_495,lM1,nt,-0.155644322,-0.233518282,-0.212298052,0.014690944,0.08378517,0.283739228
T_507,lM1,nt,-0.03636185,-0.011170047,0.09122541,0.196832907,0.169689942,0.124946316
T_513,lM1,nt,0.059186762,0.14200108,0.148299282,0.227135717,0.091027589,0.090207887
T_524,lM1,nt,-0.053587844,0.012208728,0.083514512,0.145736728,0.090377771,0.157235636
T_549,lM1,nt,0.058356548,-0.044696447,0.148539362,0.35633005,0.497899003,0.435817456
T_550,lM1,nt,-0.161372724,-0.178511612,0.044469262,0.212728317,0.24821648,0.246371132
T_554,lM1,nt,0.025919467,-0.053903163,-0.011355087,0.079216102,0.273270834,0.302502463
T_556,lM1,nt,-0.013329613,0.055730442,0.075792591,0.08841867,0.077375796,0.097294482
T_593,lM1,nt,-0.127976871,-0.284864715,-0.264214756,-0.304687107,0.124709864,0.498229815
T_595,lM1,nt,-0.18398548,-0.202422711,-0.219220574,-0.092108937,0.050090384,0.100606745
T_603,lM1,nt,-0.033410129,-0.081616262,-0.085374792,-0.179895764,-0.066812427,0.052461095
T_614,lM1,nt,0.059294082,0.041176036,0.188062858,0.131520168,0.142736336,0.128288625
T_624,lM1,nt,-0.002468646,-0.043398354,0.180392074,0.241053836,0.27830677,0.345052582
T_629,lM1,nt,-0.011595014,-0.083854195,-0.179988622,-0.175103101,0.021017442,0.047659333
T_642,lM1,nt,-0.040308457,-0.007464385,0.085930265,0.12568968,0.129062788,0.192738243
T_647,lM1,nt,-0.043078457,-0.037645473,-0.041879111,-0.073755331,-0.013913286,-0.040630016
T_652,lM1,nt,0.020172752,0.070954828,0.071667322,0.100002245,0.127271626,0.150098897
T_662,lM1,nt,-0.282999557,-0.315473026,0.056278864,0.075858357,0.082845288,0.178518056
T_663,lM1,nt,0.026611258,0.006647232,0.071445834,0.18310641,0.300648591,0.388504461
T_665,lM1,nt,0.126971037,0.133786212,0.114304269,0.246353351,0.220381632,0.305504594
T_475,lM1,t,0.026400297,-0.108416753,-0.030283842,-0.117310647,-0.032086528,0.000430288
T_488,lM1,t,-0.043686414,-0.082369719,0.025787555,0.047628313,0.085072384,0.036120412
T_490,lM1,t,0.065111992,0.067309028,0.070391429,0.006662482,-0.046393544,0.038698608
T_491,lM1,t,-0.003624936,0.029066576,-0.02859573,-0.106432311,-0.023519093,0.010097405
T_495,lM1,t,-0.197250891,-0.145990588,-0.109565824,0.124057066,0.018774681,0.070792052
T_507,lM1,t,-0.024326177,0.040993389,0.118972655,0.277890454,0.273828899,0.249229041
T_513,lM1,t,0.128566812,0.223861889,0.308221248,0.272825265,0.070835015,0.124980311
T_524,lM1,t,0.015380657,0.100124173,0.134580416,0.226651568,0.173899651,0.190689734
T_549,lM1,t,0.139422963,0.225576681,0.478447374,0.357418891,0.290770253,0.133796367
T_550,lM1,t,-0.028800588,-0.014490054,0.145796465,0.136479178,0.09537769,0.112856581
T_554,lM1,t,-0.067685174,0.055830867,0.24938532,0.196218125,0.01216124,0.010878159
T_556,lM1,t,-0.028011282,-0.020792745,0.082019177,0.127944013,-0.08922406,0.05855439
T_593,lM1,t,-0.154560174,-0.203586566,-0.156664777,-0.272775056,-0.136175556,0.044771984
T_595,lM1,t,0.06581438,0.100322082,-0.133129747,0.07357992,0.141371762,0.211575447
T_603,lM1,t,-0.029509929,-0.146110159,-0.127507062,-0.165249228,-0.008334139,0.107077784
