sID,sNR,cond,run,block,gtnum,gkind,gcolor,gint,gintVal,gtheButton,gresp,gRT,geval,gpairKind,gpairCorr,gpairRelate,gprevInt
02_B,1,1,1,1,1,0,32899472,0,0,2,2,884,2,3,5,1,99
02_B,1,1,1,1,2,0,32899472,0,0,1,1,562,1,1,5,1,0
02_B,1,1,1,1,3,0,32899472,0,0,1,2,578,3,1,4,2,0
02_B,1,1,1,1,4,0,32899472,0,0,2,2,629,1,1,5,1,0
02_B,1,1,1,1,5,0,32899472,0,0,1,1,649,1,1,1,1,0
02_B,1,1,1,1,6,0,32899472,0,0,1,1,596,1,1,1,3,0
02_B,1,1,1,1,7,0,32899472,0,0,1,1,643,1,1,1,3,0
02_B,1,1,1,1,8,0,32899472,0,0,1,1,695,1,1,1,3,0
02_B,1,1,1,1,9,0,32899472,0,0,2,2,646,1,1,1,1,0
02_B,1,1,1,1,10,0,32899472,0,0,2,2,639,1,1,1,3,0
02_B,1,1,1,1,11,0,32899472,0,0,1,1,695,1,1,1,1,0
02_B,1,1,1,1,12,0,32899472,0,0,2,2,603,1,1,1,1,0
02_B,1,2,1,2,1,0,32899472,0,0,2,2,663,1,3,5,1,99
02_B,1,2,1,2,2,0,32899472,0,0,1,1,561,1,1,1,1,0
02_B,1,2,1,2,3,1,3,1,250,2,2,562,2,2,2,1,0
02_B,1,2,1,2,4,1,1,2,300,2,2,553,2,4,5,2,1
02_B,1,2,1,2,5,1,2,2,250,1,1,540,2,4,5,1,2
02_B,1,2,1,2,6,0,2,0,0,1,1,748,2,3,5,3,2
02_B,1,2,1,2,7,0,2,0,0,1,1,687,1,1,5,2,0
02_B,1,2,1,2,8,0,2,0,0,1,1,747,2,1,2,2,0
02_B,1,2,1,2,9,0,2,0,0,2,2,725,2,1,5,1,0
02_B,1,2,1,2,10,0,2,0,0,2,2,451,1,1,5,3,0
02_B,1,2,1,2,11,0,2,0,0,1,1,612,1,1,1,1,0
02_B,1,2,1,2,12,1,2,1,200,1,0,0,1,2,1,2,0
02_B,1,2,1,3,1,0,2,0,0,2,2,708,2,3,5,1,1
02_B,1,2,1,3,2,0,2,0,0,2,2,614,1,1,5,3,0
02_B,1,2,1,3,3,1,3,1,200,2,0,0,1,2,1,3,0
02_B,1,2,1,3,4,0,3,0,0,1,1,527,1,3,1,1,1
02_B,1,2,1,3,5,1,1,2,200,2,0,0,1,2,1,1,0
02_B,1,2,1,3,6,0,1,0,0,2,2,690,1,3,1,3,2
02_B,1,2,1,3,7,1,2,2,250,1,0,0,1,2,1,1,0
02_B,1,2,1,3,8,0,2,0,0,1,1,611,1,3,1,3,2
02_B,1,2,1,3,9,0,2,0,0,1,1,551,1,1,1,3,0
02_B,1,2,1,3,10,0,2,0,0,1,1,568,1,1,1,2,0
02_B,1,2,1,3,11,0,2,0,0,2,2,590,1,1,1,1,0
02_B,1,2,1,3,12,0,2,0,0,2,2,549,1,1,1,3,0
02_B,1,2,1,4,1,0,2,0,0,1,1,663,1,3,5,1,0
02_B,1,2,1,4,2,1,3,1,250,2,0,0,1,2,1,1,0
02_B,1,2,1,4,3,1,1,2,300,2,0,0,1,4,1,2,1
02_B,1,2,1,4,4,0,1,0,0,2,2,633,1,3,1,2,2
02_B,1,2,1,4,5,0,1,0,0,1,1,542,1,1,1,1,0
02_B,1,2,1,4,6,0,1,0,0,2,2,621,1,1,1,1,0
02_B,1,2,1,4,7,0,1,0,0,2,2,614,1,1,1,3,0
02_B,1,2,1,4,8,1,2,2,350,1,0,0,1,2,1,1,0
02_B,1,2,1,4,9,0,2,0,0,2,2,514,1,3,1,1,2
02_B,1,2,1,4,10,1,2,1,250,1,0,0,1,2,1,1,0
02_B,1,2,1,4,11,0,2,0,0,1,1,478,1,3,1,2,1
02_B,1,2,1,4,12,0,2,0,0,1,1,628,1,1,1,2,0
02_B,1,1,1,5,1,0,32899472,0,0,1,1,730,2,3,5,1,0
02_B,1,1,1,5,2,0,32899472,0,0,1,1,538,1,1,5,3,0
02_B,1,1,1,5,3,0,32899472,0,0,1,1,558,1,1,1,3,0
02_B,1,1,1,5,4,0,32899472,0,0,2,2,632,1,1,1,1,0
02_B,1,1,1,5,5,0,32899472,0,0,2,2,538,1,1,1,3,0
02_B,1,1,1,5,6,0,32899472,0,0,1,1,581,1,1,1,1,0
02_B,1,1,1,5,7,0,32899472,0,0,2,2,665,1,1,1,1,0
02_B,1,1,1,5,8,0,32899472,0,0,2,2,591,1,1,1,3,0
02_B,1,1,1,5,9,0,32899472,0,0,2,2,635,1,1,1,2,0
