sid,type,roi,acc
1,ntssnt,rdlpfc,0.395467836
2,ntssnt,rdlpfc,0.6891875
3,ntssnt,rdlpfc,0.619357143
4,ntssnt,rdlpfc,0.534761434
5,ntssnt,rdlpfc,0.61490625
6,ntssnt,rdlpfc,0.525243506
7,ntssnt,rdlpfc,0.59834375
8,ntssnt,rdlpfc,0.677435065
9,ntssnt,rdlpfc,0.604541421
10,ntssnt,rdlpfc,0.3850625
11,ntssnt,rdlpfc,0.7716875
12,ntssnt,rdlpfc,0.618421053
13,ntssnt,rdlpfc,0.66625
14,ntssnt,rdlpfc,0.617271316
15,ntssnt,rdlpfc,0.56773539
16,ntssnt,rdlpfc,0.5835
17,ntssnt,rdlpfc,0.362625
18,ntssnt,rdlpfc,0.559041502
19,ntssnt,rdlpfc,0.563862782
20,ntssnt,rdlpfc,0.55509375
21,ntssnt,rdlpfc,0.663194444
22,ntssnt,rdlpfc,0.485917208
23,ntssnt,rdlpfc,0.61621875
24,ntssnt,rdlpfc,0.441375
1,ntssnt,rvlpfc,0.54809375
2,ntssnt,rvlpfc,0.54290625
3,ntssnt,rvlpfc,0.729
4,ntssnt,rvlpfc,0.56575
5,ntssnt,rvlpfc,0.6768125
6,ntssnt,rvlpfc,0.49496875
7,ntssnt,rvlpfc,0.47946875
8,ntssnt,rvlpfc,0.60278125
9,ntssnt,rvlpfc,0.843714286
10,ntssnt,rvlpfc,0.52178125
11,ntssnt,rvlpfc,0.61621875
12,ntssnt,rvlpfc,0.5236875
13,ntssnt,rvlpfc,0.54784375
14,ntssnt,rvlpfc,0.6601875
15,ntssnt,rvlpfc,0.5661875
16,ntssnt,rvlpfc,0.72653125
17,ntssnt,rvlpfc,0.49809375
18,ntssnt,rvlpfc,0.45328125
19,ntssnt,rvlpfc,0.4805625
20,ntssnt,rvlpfc,0.741
21,ntssnt,rvlpfc,0.844333333
22,ntssnt,rvlpfc,0.55878125
23,ntssnt,rvlpfc,0.69571875
24,ntssnt,rvlpfc,0.389625
1,ntssnt,rHC,0.51915625
2,ntssnt,rHC,0.48171875
3,ntssnt,rHC,0.392214286
4,ntssnt,rHC,0.42084375
5,ntssnt,rHC,0.5283125
6,ntssnt,rHC,0.60984375
7,ntssnt,rHC,0.41534375
8,ntssnt,rHC,0.581625
9,ntssnt,rHC,0.565107143
10,ntssnt,rHC,0.65665625
11,ntssnt,rHC,0.57959375
12,ntssnt,rHC,0.4656875
13,ntssnt,rHC,0.58084375
14,ntssnt,rHC,0.545375
15,ntssnt,rHC,0.44565625
16,ntssnt,rHC,0.46675
17,ntssnt,rHC,0.53225
18,ntssnt,rHC,0.53965625
19,ntssnt,rHC,0.439375
20,ntssnt,rHC,0.51296875
21,ntssnt,rHC,0.685375
22,ntssnt,rHC,0.45634375
23,ntssnt,rHC,0.30321875
24,ntssnt,rHC,0.3775625
1,ntssnt,lM1,0.607142857
