sid,type,roi,acc
1,d_general,rdlpfc,0.472280844
2,d_general,rdlpfc,0.60928125
3,d_general,rdlpfc,0.670821429
4,d_general,rdlpfc,0.462625
5,d_general,rdlpfc,0.555871212
6,d_general,rdlpfc,0.466452206
7,d_general,rdlpfc,0.59721875
8,d_general,rdlpfc,0.658596838
9,d_general,rdlpfc,0.689392858
10,d_general,rdlpfc,0.507375
11,d_general,rdlpfc,0.549147727
12,d_general,rdlpfc,0.6171875
13,d_general,rdlpfc,0.66378125
14,d_general,rdlpfc,0.686795113
15,d_general,rdlpfc,0.666625
16,d_general,rdlpfc,0.548875
17,d_general,rdlpfc,0.46753125
18,d_general,rdlpfc,0.668452381
19,d_general,rdlpfc,0.439797794
20,d_general,rdlpfc,0.552884616
21,d_general,rdlpfc,0.673791667
22,d_general,rdlpfc,0.473863636
23,d_general,rdlpfc,0.6874375
24,d_general,rdlpfc,0.46115625
1,d_general,rvlpfc,0.61946875
2,d_general,rvlpfc,0.5968125
3,d_general,rvlpfc,0.713357143
4,d_general,rvlpfc,0.60203125
5,d_general,rvlpfc,0.614
6,d_general,rvlpfc,0.527125
7,d_general,rvlpfc,0.43825
8,d_general,rvlpfc,0.70309375
9,d_general,rvlpfc,0.791142858
10,d_general,rvlpfc,0.53428125
11,d_general,rvlpfc,0.62871875
12,d_general,rvlpfc,0.426973685
13,d_general,rvlpfc,0.51634375
14,d_general,rvlpfc,0.55940625
15,d_general,rvlpfc,0.6145
16,d_general,rvlpfc,0.72809375
17,d_general,rvlpfc,0.515125
18,d_general,rvlpfc,0.51478125
19,d_general,rvlpfc,0.5355
20,d_general,rvlpfc,0.632125
21,d_general,rvlpfc,0.861625
22,d_general,rvlpfc,0.6024375
23,d_general,rvlpfc,0.54115625
24,d_general,rvlpfc,0.483625
1,d_general,SMA,0.7685
2,d_general,SMA,0.309
3,d_general,SMA,0.571321429
4,d_general,SMA,0.55921875
5,d_general,SMA,0.649125
6,d_general,SMA,0.61990625
7,d_general,SMA,0.7578125
8,d_general,SMA,0.79046875
9,d_general,SMA,0.671642857
10,d_general,SMA,0.37978125
11,d_general,SMA,0.71934375
12,d_general,SMA,0.6095
13,d_general,SMA,0.62009375
14,d_general,SMA,0.47209375
15,d_general,SMA,0.8198125
16,d_general,SMA,0.397375
17,d_general,SMA,0.12915625
18,d_general,SMA,0.46653125
19,d_general,SMA,0.50109375
20,d_general,SMA,0.50025
21,d_general,SMA,0.654375
22,d_general,SMA,0.43778125
23,d_general,SMA,0.66321875
24,d_general,SMA,0.50371875
1,d_general,lVLPFC,0.67553125
2,d_general,lVLPFC,0.3515
3,d_general,lVLPFC,0.617178571
4,d_general,lVLPFC,0.40296875
5,d_general,lVLPFC,0.6064375
6,d_general,lVLPFC,0.4283125
7,d_general,lVLPFC,0.53690625
8,d_general,lVLPFC,0.6559375
9,d_general,lVLPFC,0.714071429
10,d_general,lVLPFC,0.5473125
11,d_general,lVLPFC,0.62840625
12,d_general,lVLPFC,0.52546875
13,d_general,lVLPFC,0.65696875
14,d_general,lVLPFC,0.41484375
15,d_general,lVLPFC,0.62190625
16,d_general,lVLPFC,0.5173125
17,d_general,lVLPFC,0.38503125
18,d_general,lVLPFC,0.44875
19,d_general,lVLPFC,0.47825
20,d_general,lVLPFC,0.40315625
21,d_general,lVLPFC,0.523666667
22,d_general,lVLPFC,0.542875
