sid,type,roi,acc
1,d_general,rdlpfc,0.497596154
2,d_general,rdlpfc,0.580357143
3,d_general,rdlpfc,0.580357143
4,d_general,rdlpfc,0.513888889
5,d_general,rdlpfc,0.5625
6,d_general,rdlpfc,0.438186813
7,d_general,rdlpfc,0.568108974
8,d_general,rdlpfc,0.723214286
9,d_general,rdlpfc,0.591836735
10,d_general,rdlpfc,0.502272727
11,d_general,rdlpfc,0.573717949
12,d_general,rdlpfc,0.453125
13,d_general,rdlpfc,0.619791667
14,d_general,rdlpfc,0.625
15,d_general,rdlpfc,0.66875
16,d_general,rdlpfc,0.3125
17,d_general,rdlpfc,0.495879121
18,d_general,rdlpfc,0.66875
19,d_general,rdlpfc,0.50625
20,d_general,rdlpfc,0.535984848
21,d_general,rdlpfc,0.563636364
22,d_general,rdlpfc,0.473863636
23,d_general,rdlpfc,0.655701754
24,d_general,rdlpfc,0.58125
1,d_general,rvlpfc,0.521634615
2,d_general,rvlpfc,0.546016484
3,d_general,rvlpfc,0.642857143
4,d_general,rvlpfc,0.631944444
5,d_general,rvlpfc,0.609375
6,d_general,rvlpfc,0.501373626
7,d_general,rvlpfc,0.482371795
8,d_general,rvlpfc,0.616071429
9,d_general,rvlpfc,0.683673469
10,d_general,rvlpfc,0.5375
11,d_general,rvlpfc,0.552884615
12,d_general,rvlpfc,0.46875
13,d_general,rvlpfc,0.534895833
14,d_general,rvlpfc,0.5625
15,d_general,rvlpfc,0.56875
16,d_general,rvlpfc,0.75
17,d_general,rvlpfc,0.492445055
18,d_general,rvlpfc,0.4375
19,d_general,rvlpfc,0.475
20,d_general,rvlpfc,0.575757576
21,d_general,rvlpfc,0.648484848
22,d_general,rvlpfc,0.565909091
23,d_general,rvlpfc,0.520467836
24,d_general,rvlpfc,0.4375
1,d_general,rHC,0.578525641
2,d_general,rHC,0.487637363
3,d_general,rHC,0.375
4,d_general,rHC,0.395833333
5,d_general,rHC,0.390625
6,d_general,rHC,0.501373626
7,d_general,rHC,0.532852564
8,d_general,rHC,0.669642857
9,d_general,rHC,0.581632653
10,d_general,rHC,0.532954545
11,d_general,rHC,0.657852564
12,d_general,rHC,0.5
13,d_general,rHC,0.5328125
14,d_general,rHC,0.491071429
15,d_general,rHC,0.46875
16,d_general,rHC,0.375
17,d_general,rHC,0.506181319
18,d_general,rHC,0.5375
19,d_general,rHC,0.40625
20,d_general,rHC,0.541666667
21,d_general,rHC,0.646969697
22,d_general,rHC,0.514772727
23,d_general,rHC,0.370979532
24,d_general,rHC,0.4125
1,d_general,lM1,0.62099359
2,d_general,lM1,0.368131868
3,d_general,lM1,0.473214286
4,d_general,lM1,0.3125
5,d_general,lM1,0.34375
6,d_general,lM1,0.614697802
7,d_general,lM1,0.473557692
8,d_general,lM1,0.535714286
9,d_general,lM1,0.408163265
10,d_general,lM1,0.740909091
11,d_general,lM1,0.458333333
12,d_general,lM1,0.390625
13,d_general,lM1,0.466145833
14,d_general,lM1,0.482142857
15,d_general,lM1,0.61875
16,d_general,lM1,0.4375
17,d_general,lM1,0.438873626
18,d_general,lM1,0.44375
19,d_general,lM1,0.31875
20,d_general,lM1,0.496212121
21,d_general,lM1,0.496969697
22,d_general,lM1,0.368181818
23,d_general,lM1,0.629385965
24,d_general,lM1,0.475
1,d_specific,rdlpfc,0.490384615
2,d_specific,rdlpfc,0.633241758
3,d_specific,rdlpfc,0.616071429
4,d_specific,rdlpfc,0.597222222
5,d_specific,rdlpfc,0.625
6,d_specific,rdlpfc,0.557005495
7,d_specific,rdlpfc,0.741987179
8,d_specific,rdlpfc,0.651785714
9,d_specific,rdlpfc,0.867346939
10,d_specific,rdlpfc,0.836363636
11,d_specific,rdlpfc,0.669070513
12,d_specific,rdlpfc,0.609375
13,d_specific,rdlpfc,0.561458333
14,d_specific,rdlpfc,0.410714286
15,d_specific,rdlpfc,0.7125
16,d_specific,rdlpfc,0.375
17,d_specific,rdlpfc,0.726648352
18,d_specific,rdlpfc,0.84375
19,d_specific,rdlpfc,0.69375
20,d_specific,rdlpfc,0.726325758
21,d_specific,rdlpfc,0.718181818
22,d_specific,rdlpfc,0.677272727
23,d_specific,rdlpfc,0.591374269
24,d_specific,rdlpfc,0.7375
1,d_specific,rvlpfc,0.564903846
2,d_specific,rvlpfc,0.74793956
3,d_specific,rvlpfc,0.5
4,d_specific,rvlpfc,0.798611111
5,d_specific,rvlpfc,0.53125
6,d_specific,rvlpfc,0.558379121
7,d_specific,rvlpfc,0.748397436
8,d_specific,rvlpfc,0.517857143
9,d_specific,rvlpfc,0.857142857
10,d_specific,rvlpfc,0.819318182
11,d_specific,rvlpfc,0.680288462
12,d_specific,rvlpfc,0.5
13,d_specific,rvlpfc,0.745833333
14,d_specific,rvlpfc,0.6875
15,d_specific,rvlpfc,0.6625
16,d_specific,rvlpfc,0.875
17,d_specific,rvlpfc,0.771291209
18,d_specific,rvlpfc,0.7
19,d_specific,rvlpfc,0.65
20,d_specific,rvlpfc,0.685606061
21,d_specific,rvlpfc,0.686363636
22,d_specific,rvlpfc,0.664772727
23,d_specific,rvlpfc,0.701023392
24,d_specific,rvlpfc,0.675
1,d_specific,rHC,0.544070513
2,d_specific,rHC,0.461538462
3,d_specific,rHC,0.669642857
4,d_specific,rHC,0.645833333
5,d_specific,rHC,0.640625
6,d_specific,rHC,0.462225275
7,d_specific,rHC,0.463141026
8,d_specific,rHC,0.5625
9,d_specific,rHC,0.540816327
10,d_specific,rHC,0.630681818
11,d_specific,rHC,0.671474359
12,d_specific,rHC,0.703125
13,d_specific,rHC,0.582291667
14,d_specific,rHC,0.803571429
15,d_specific,rHC,0.5875
16,d_specific,rHC,0.75
17,d_specific,rHC,0.557005495
18,d_specific,rHC,0.63125
19,d_specific,rHC,0.8375
20,d_specific,rHC,0.697916667
21,d_specific,rHC,0.531818182
22,d_specific,rHC,0.55
23,d_specific,rHC,0.396929825
24,d_specific,rHC,0.73125
1,d_specific,lM1,0.626602564
2,d_specific,lM1,0.720467033
3,d_specific,lM1,0.6875
4,d_specific,lM1,0.701388889
5,d_specific,lM1,0.5625
6,d_specific,lM1,0.371565934
7,d_specific,lM1,0.47275641
8,d_specific,lM1,0.696428571
9,d_specific,lM1,0.571428571
10,d_specific,lM1,0.736363636
11,d_specific,lM1,0.600160256
12,d_specific,lM1,0.640625
13,d_specific,lM1,0.660416667
14,d_specific,lM1,0.767857143
15,d_specific,lM1,0.75
16,d_specific,lM1,0.5625
17,d_specific,lM1,0.839972527
18,d_specific,lM1,0.8125
19,d_specific,lM1,0.6875
20,d_specific,lM1,0.731060606
21,d_specific,lM1,0.5
22,d_specific,lM1,0.7
23,d_specific,lM1,0.631578947
24,d_specific,lM1,0.58125
1,ntnt,rdlpfc,0.697916667
2,ntnt,rdlpfc,0.60989011
3,ntnt,rdlpfc,0.553571429
4,ntnt,rdlpfc,0.708333333
5,ntnt,rdlpfc,0.609375
6,ntnt,rdlpfc,0.578983516
7,ntnt,rdlpfc,0.650641026
8,ntnt,rdlpfc,0.660714286
9,ntnt,rdlpfc,0.683673469
10,ntnt,rdlpfc,0.807954545
11,ntnt,rdlpfc,0.665064103
12,ntnt,rdlpfc,0.53125
13,ntnt,rdlpfc,0.597916667
14,ntnt,rdlpfc,0.705357143
15,ntnt,rdlpfc,0.49375
16,ntnt,rdlpfc,0.6875
17,ntnt,rdlpfc,0.679945055
18,ntnt,rdlpfc,0.5
19,ntnt,rdlpfc,0.7125
20,ntnt,rdlpfc,0.580492424
21,ntnt,rdlpfc,0.825757576
22,ntnt,rdlpfc,0.554545455
23,ntnt,rdlpfc,0.781067251
24,ntnt,rdlpfc,0.75625
1,ntnt,rvlpfc,0.668269231
2,ntnt,rvlpfc,0.572802198
3,ntnt,rvlpfc,0.607142857
4,ntnt,rvlpfc,0.604166667
5,ntnt,rvlpfc,0.625
6,ntnt,rvlpfc,0.578296703
7,ntnt,rvlpfc,0.502403846
8,ntnt,rvlpfc,0.642857143
9,ntnt,rvlpfc,0.704081633
10,ntnt,rvlpfc,0.804545455
11,ntnt,rvlpfc,0.564102564
12,ntnt,rvlpfc,0.390625
13,ntnt,rvlpfc,0.536979167
14,ntnt,rvlpfc,0.705357143
15,ntnt,rvlpfc,0.4875
16,ntnt,rvlpfc,0.4375
17,ntnt,rvlpfc,0.727335165
18,ntnt,rvlpfc,0.64375
19,ntnt,rvlpfc,0.45
20,ntnt,rvlpfc,0.65625
21,ntnt,rvlpfc,0.724242424
