sNR,SIF,SSRT,ROI,run1,run2,run3,run4,run5,run6,run7,run8,propslope,
1,0.079861111,295.1300813,rDLPFC,1,0.870779221,0.383766234,0.355844156,0.04025974,0.90974026,0.118181818,0.135064935,-0.10,
2,0.035897436,402.4227642,rDLPFC,0.991,0.7745,0,1,0.9975,0.9975,1,0.021,-0.03,
3,0.159191176,367.9818182,rDLPFC,1,1,0.988,0.968,0.996,0,0.008,NaN,-0.18,
4,0.194444444,288.9256198,rDLPFC,0.5485,1,0.281,0.1045,0.9915,0.391,0,0.7395,-0.05,
5,0.075,296.7226891,rDLPFC,1,0.075757576,0.727272727,0.515151515,0.348484848,0.151515152,1,0.045454545,-0.05,
6,-0.027777778,400.1621622,rDLPFC,0.742647059,0,0.492647059,0,0.919117647,0.875,0.941176471,0.014705882,0.03,
7,-0.003508772,307.0630631,rDLPFC,0.9985,0.9795,0.1515,1,0.1435,0.9355,0.159,0.0525,-0.11,
8,-0.021428571,318.9047619,rDLPFC,0.897233202,0.989271598,0.765669113,1,0.815358554,0.937323546,0.920383964,0.095990966,-0.07,
9,-0.177083333,443.1415094,rDLPFC,0,1,0.9785,1,0.9425,0.9885,0.5735,NaN,0.12,
10,0.044444444,282.826087,rDLPFC,0.995,0.26,0.0115,0,0.9595,0.996,0.007,0.133,-0.04,
11,0.216666667,314.9083969,rDLPFC,0.829220779,0.857792208,0.75974026,0.028571429,0.985064935,0.961688312,0.76038961,0.001298701,-0.07,
12,0.15530303,371.76,rDLPFC,0.316176471,0.705882353,0.713235294,0.985294118,0.654411765,0.088235294,0.470588235,0.720588235,-0.02,
13,0.088888889,271.2377049,rDLPFC,0.9875,0.864,0.9905,0.9565,0.347,0,0.519,0.982,-0.06,
14,-0.022321429,351.0661765,rDLPFC,0.990977444,0.996992481,0.844360902,0.065413534,0.998496241,0.011278195,0.998496241,0.99924812,-0.02,
15,0.195138889,296.6779661,rDLPFC,0.6095,0.892,0.9275,1,1,0.0265,0.516,0.2375,-0.14,
16,-0.027777778,341.4552846,rDLPFC,1,0.214,0.192,0.0855,0.001,0.997,0.6265,0.9825,0.05,
17,0.068421053,347,rDLPFC,0.9845,0.9555,0.363,0.4445,0.4955,0.903,0,0,-0.12,
18,0.029824561,353.7479675,rDLPFC,1,0.914285714,0.952380952,0.828571429,0.533333333,0.171428571,0.028571429,0.6,-0.12,
19,-0.012820513,357.1908397,rDLPFC,0.588235294,0.404411765,0.316176471,0.860294118,0.022058824,0.852941176,0.992647059,0.022058824,-0.01,
20,-0.035714286,465.5614035,rDLPFC,0.935897436,0.371794872,0.897435897,0.012820513,0.820512821,0.551282051,0.179487179,0.987179487,-0.01,
21,-0.003968254,384.1367521,rDLPFC,0.1245,0.1195,0.884,1,0.8335,0.9985,NaN,NaN,1.52,
22,0.085227273,332.75,rDLPFC,0.018181818,0.781818182,1,0.036363636,0.981818182,0,0.945454545,0,-0.89,
23,0.104166667,360.5882353,rDLPFC,0.924,0.9945,0.8835,0.9865,0.996,0.044,0.1375,0.9925,-0.08,
24,-0.036210317,408.907563,rDLPFC,0.9945,0.069,0.2405,0.0255,0.476,0.7555,0.54,0.6435,0.02,
1,0.079861111,295.1300813,rVLPFC,0.87050,0.99600,0.37450,0.96500,0.98700,0.98300,0.00000,0.01450,-0.12,
2,0.035897436,402.4227642,rVLPFC,0.73750,0.89850,0.34800,0.29000,0.86550,1.00000,0.61650,0.04450,-0.06,
3,0.159191176,367.9818182,rVLPFC,1.00000,0.99950,1.00000,0.00500,0.99250,0.00000,0.99450,NaN,-0.07,
4,0.194444444,288.9256198,rVLPFC,0.04200,1.00000,1.00000,0.92800,1.00000,0.19500,0.00000,0.55750,-1.06,
5,0.075,296.7226891,rVLPFC,0.99250,0.03050,1.00000,0.00250,0.14600,0.99950,1.00000,0.00000,-0.02,
6,-0.027777778,400.1621622,rVLPFC,1.00000,0.00000,0.00000,0.98550,0.96100,0.59750,0.99600,0.03500,0.00,
7,-0.003508772,307.0630631,rVLPFC,0.51900,1.00000,0.00200,0.05000,0.00000,0.92650,0.66650,0.99800,0.10,
8,-0.021428571,318.9047619,rVLPFC,0.68500,0.06600,0.00000,0.99350,0.99900,1.00000,0.98850,1.00000,0.17,
9,-0.177083333,443.1415094,rVLPFC,0.96850,0.74300,0.05650,1.00000,0.91450,1.00000,0.87800,NaN,0.04,
10,0.044444444,282.826087,rVLPFC,0.00100,0.60450,1.00000,0.93250,0.99950,0.97750,0.02350,0.13650,-0.08,
11,0.216666667,314.9083969,rVLPFC,0.99300,0.97550,0.84550,0.68500,0.99950,0.02700,0.99300,0.05500,-0.10,
12,0.15530303,371.76,rVLPFC,0.80526,0.02632,0.47368,0.99474,0.61579,0.97368,0.43158,0.00526,-0.04,
13,0.088888889,271.2377049,rVLPFC,0.99650,0.99200,0.08300,0.97050,1.00000,0.49800,0.00000,0.00000,-0.13,
14,-0.022321429,351.0661765,rVLPFC,0.05050,1.00000,0.00500,0.99050,0.66450,0.00000,0.99900,1.00000,1.49,
15,0.195138889,296.6779661,rVLPFC,0.09300,1.00000,0.96100,1.00000,1.00000,0.00000,0.99200,0.00000,-0.46,
16,-0.027777778,341.4552846,rVLPFC,1.00000,0.99950,0.24200,0.99400,0.03200,1.00000,0.27300,0.97000,-0.03,
17,0.068421053,347,rVLPFC,0.96100,0.17750,0.25850,0.61700,1.00000,0.56950,0.99650,0.01350,-0.02,
18,0.029824561,353.7479675,rVLPFC,0.99700,0.02350,0.97350,0.96000,0.00150,0.99950,0.99100,0.00000,-0.04,
19,-0.012820513,357.1908397,rVLPFC,0.00250,0.63100,0.00000,0.90950,0.77900,0.98800,0.93000,0.00100,0.16228812,
20,-0.035714286,465.5614035,rVLPFC,0.56350,0.98550,1.00000,0.55100,0.02400,0.99650,0.09400,1.00000,-0.04,
21,-0.003968254,384.1367521,rVLPFC,0.97000,0.38950,1.00000,1.00000,1.00000,1.00000,NaN,NaN,0.06,
22,0.085227273,332.75,rVLPFC,0.93400,1.00000,0.99950,0.43900,0.18250,0.45100,0.00150,0.00150,-0.17,
23,0.104166667,360.5882353,rVLPFC,1.00000,0.06700,0.45950,0.86000,0.28350,0.13600,1.00000,0.33400,-0.02,
24,-0.036210317,408.907563,rVLPFC,0.00000,0.99150,0.00000,0.69150,0.09650,0.05850,1.00000,0.00050,-0.01,
1,0.079861111,295.1300813,HC,0.472527473,0.956043956,1,0,0.285714286,0,0.978021978,0.956043956,0.0196567,
2,0.035897436,402.4227642,HC,0.289473684,0.905263158,0.126315789,0.005263158,0.8,0.973684211,0.273684211,0.963157895,0.201298701,
3,0.159191176,367.9818182,HC,0.997,0.0555,0.0195,0,0,0.9415,0.268,NaN,-0.015564551,
4,0.194444444,288.9256198,HC,1,0,0.2,0,0,1,0,0.7,0.003571429,
5,0.075,296.7226891,HC,0,0,0.75,0,0.75,0,1,0,-0.023556615,
6,-0.027777778,400.1621622,HC,0.8385,0.756,0.088,0.9845,0.819,0.95,0.3115,0.0005,-0.080472499,
7,-0.003508772,307.0630631,HC,0.392156863,0.986928105,0.039215686,0.333333333,0.209150327,0,1,0.241830065,-0.037301587,
8,-0.021428571,318.9047619,HC,1,0.571428571,1,1,1,0.857142857,0,1,-0.039115646,
9,-0.177083333,443.1415094,HC,0.137254902,0.08496732,1,0.986928105,0.91503268,0,0.633986928,NaN,0.321428571,
10,0.044444444,282.826087,HC,0.053077357,0.243929983,0.125352908,0.720496894,0.741389046,0.941840768,0.810841333,0.405420666,1.743034448,
11,0.216666667,314.9083969,HC,0.935897436,0.897435897,0.358974359,1,0.41025641,0.538461538,1,0.102564103,-0.068330072,
12,0.15530303,371.76,HC,1,0,0,0.5,1,0,0.75,0.75,0.029761905,
