sNR,SIF,SSRT,ROI,run1,run2,run3,run4,run5,run6,run7,run8,propslope
1,0.079861111,295.1300813,rDLPFC,1,0.748538012,0.257309942,0.169590643,0.046783626,0.935672515,0.029239766,0.052631579,-0.1
2,0.035897436,402.4227642,rDLPFC,0.638,0.9775,0.1355,0.9955,0.9815,0.303,0.9995,0.964,0.05
3,0.159191176,367.9818182,rDLPFC,1,1,0.612,0.513,1,0.002,0.3305,,-0.13
4,0.194444444,288.9256198,rDLPFC,0.744212309,1,0.791643139,0.133822699,0.996047431,0.250705816,0.031620553,0.254658385,-0.14
5,0.075,296.7226891,rDLPFC,0.915,0,1,0.109,0.6485,1,1,0,-0.01
6,-0.027777778,400.1621622,rDLPFC,0.775974026,0,0.253246753,0,0.875324675,0.876623377,0.993506494,0.025324675,0.04
7,-0.003508772,307.0630631,rDLPFC,1,0.904,0.0825,0.9905,0.954,0.086,0.512,0.15,-0.09
8,-0.021428571,318.9047619,rDLPFC,0.855194805,0.988311688,0.734415584,1,0.865584416,0.997402597,0.905194805,0.136363636,-0.07
9,-0.177083333,443.1415094,rDLPFC,0,0.998306042,0.836815359,1,0.809712027,0.989836251,0.152456239,,0.03
10,0.044444444,282.826087,rDLPFC,0.8585,0.6085,0.854,0,0.2065,0.1155,0.0085,0.01,-0.15
11,0.216666667,314.9083969,rDLPFC,0.9855,0.8145,0.963,0.001,0.993,0.9175,0.9415,0.056,-0.06
12,0.15530303,371.76,rDLPFC,0.915789474,0.031578947,0.947368421,1,0.831578947,0.031578947,0.826315789,0.442105263,-0.03
13,0.088888889,271.2377049,rDLPFC,0.9825,0.895,0.9925,0.883,0.388,0,0.604,0.9785,-0.06
14,-0.022321429,351.0661765,rDLPFC,0.978543196,0.988142292,0.639751553,0.01242236,1,0.003952569,1,0.936758893,-0.01
15,0.195138889,296.6779661,rDLPFC,0.209090909,0.64025974,0.76038961,1,0.997402597,0.011688312,0.219480519,0.321428571,-0.2
16,-0.027777778,341.4552846,rDLPFC,1,0.115,0.1315,0.0985,0,0.999,0.9435,0.992,0.08
17,0.068421053,347,rDLPFC,0.697,0.944,1,0.593,0.162,0.737,0.0145,0.001,-0.18
18,0.029824561,353.7479675,rDLPFC,1,0.785431959,0.961603614,0.767363072,0.315640881,0.085827216,0.040090344,0.151891587,-0.15
19,-0.012820513,357.1908397,rDLPFC,0.296992481,0.523308271,0.312030075,0.254135338,0.037593985,0.869924812,0.996992481,0.010526316,0.07
20,-0.035714286,465.5614035,rDLPFC,0.579,0.3225,0.709,0.0395,0.9175,0.466,0.1285,0.998,0.04
21,-0.003968254,384.1367521,rDLPFC,0.95,0.058333333,0.933333333,0.808333333,0.625,0.841666667,,,0.03
22,0.085227273,332.75,rDLPFC,0.20974026,0.741558442,0.965584416,0.036363636,1,0.142207792,0.133116883,0.02012987,-0.33
23,0.104166667,360.5882353,rDLPFC,0.8895,0.969,0.909,0.9435,0.9915,0.0645,0.237,0.937,-0.08
24,-0.036210317,408.907563,rDLPFC,0.99,0.222,0.2475,0.115,0.8905,0.8195,0.583,0.9085,0.04
