sid,roi,condition,0s,2s,4s,6s,8s,10s
T_475,rHC,nt,-0.047290077,-0.223885582,-0.371498971,-0.236380443,0.028328581,0.15118638
T_488,rHC,nt,0.018614832,0.051546131,-0.008559189,-0.030073682,-0.035835512,0.010334587
T_490,rHC,nt,0.017538053,0.033800745,0.018398393,0.049570941,0.001542374,-0.00578387
T_491,rHC,nt,-0.04558132,-0.074827984,-0.063200633,-0.073048227,-0.101808008,-0.047446472
T_495,rHC,nt,-0.07149925,-0.062837728,0.001753981,0.087769675,-0.071591102,-0.054824884
T_507,rHC,nt,0.08226214,0.020004273,0.028139012,0.01825946,0.100993554,0.039763776
T_513,rHC,nt,0.052454674,-0.04157393,-0.039459095,0.029512559,0.006173716,-0.001776788
T_524,rHC,nt,-0.023267714,-0.180234924,-0.077458768,-0.073058864,-0.060704039,-0.038577429
T_549,rHC,nt,0.005739704,-0.032730297,-0.051548991,-0.079624529,-0.054895738,-0.009878146
T_550,rHC,nt,0.015055603,-0.043640242,-0.00649069,0.135984041,0.079536762,0.061439516
T_554,rHC,nt,-0.145184964,-0.404238686,-0.216572628,-0.171827606,-0.069205788,-0.13127046
T_556,rHC,nt,-0.045253424,-0.090931477,-0.062690279,-0.020774768,-0.072799885,0.004314601
T_593,rHC,nt,0.0951105,0.056832961,0.106613744,0.112309029,0.072612464,0.06420906
T_595,rHC,nt,0.059717513,-0.006080192,0.147886549,0.140613893,0.089794175,0.07366253
T_603,rHC,nt,-0.113635649,-0.131667706,-0.218743833,-0.171683818,-0.167642147,-0.117516363
T_614,rHC,nt,0.024892202,-0.095830508,-0.012619643,0.007129147,0.035557087,-0.029645792
T_624,rHC,nt,0.01567207,0.051810681,0.029448125,0.05001381,0.111166427,0.137324102
T_629,rHC,nt,-0.014410376,-0.055056316,-0.021132907,0.02549009,-0.002581618,0.020862986
T_642,rHC,nt,0.011677962,-0.005207139,0.050669723,0.045819076,0.048462095,0.054666231
T_647,rHC,nt,-0.003533141,-0.006610904,-0.02694816,-0.006259034,-0.007218953,-0.010073402
T_652,rHC,nt,-0.055197158,-0.081123923,-0.127261298,-0.169145255,-0.098547878,-0.063644109
T_662,rHC,nt,-0.161531952,-0.065540221,0.074850517,-0.050281643,-0.149099899,-0.134336141
T_663,rHC,nt,-0.034258727,-0.148512796,-0.152581187,-0.097794987,-0.024455041,0.01734657
T_665,rHC,nt,0.01130264,-0.041476381,-0.063662138,-0.009487439,0.068397268,0.062624061
T_475,rHC,t,-0.030958152,-0.099735534,-0.032825096,-0.111092934,-0.125564182,-0.087086253
